recipient_raw,count
辛賢契 永孫幷敍,4
翰林韻呈仁山,4
仁山,4
學追上人,4
金敬甫,4
高陽政丞見和金中丞孟,4
洞中諸先生,4
羅州崔子初,4
咸吉從事官,4
浩堂師南遊,4
姜領議政,4
琴以詠,4
高山寺,4
前韻來惠,4
寧城諸公,4
來示,4
倪內翰大人文几,4
詔使倪內翰,4
內翰大人文几,4
文几,4
呈副使,4
永川公子園中,4
仲 侃○,4
金耆伯 崇老 察訪忠淸,4
李主簿,4
鄭子文持平,4
李僉樞,4
高太常漢江,4
耆伯之任咸悅,4
日休詩韻詠蠅,4
金察訪同年 孟○,4
前韻寄淡叟,4
咸吉道監司康 孝文,4
趙進士,4
金耆伯,4
茶墨椒脯,4
茂松,4
趙直提學 秋 廣州村墅,4
孫同年,4
瓜,4
梁中樞 順石 出尹慶州,4
吉城金太守,4
金參校,4
鯉魚,4
吳同隣詩韻 孝永○,4
許都廵察使,4
金參判 永堅 赴京,4
敬敏上人還,4
心上人,4
平安李觀察使,4
姪李判官之任安州,4
永安道申監司,4
李敎授 晟 之任公州,4
永川崔使君 潤身,4
崔校理 溥 奉使耽羅,4
申從事 從濩 鴨江之行,4
安邊南府使 季堂,4
鄭大司成 孝恒,4
李郡事 調元,4
自浿江至生陽舘有,4
正使寄題箕子廟,4
題箕子廟,4
副使重登百祥樓,4
正使鴨綠江別,4
成進士 侃 雜,4
丁正言 克仁 辭官還鄕,4
金文學 壽寧,4
金文學,4
義州牧端午,4
金太僕 湜 畫竹,4
忠州板上,4
尙覲親,4
祖和尙覲親,4
琉球國使自端上人,4
御製重賦狎鷗亭,4
江原朴監司 楗,4
專上人歸慶尙,4
尹相出巡慶尙道救荒,4
李平仲,4
姜國鈞,4
申高靈所寄,4
龍泉驛,4
奉勑祭西太,4
鄭學諭 致韶 之大丘,4
仲平,4
景胤,4
萬齡臺卷閑亭韵 盧龍仁鐵堅父,4
台甫書懷,4
尹洪川志詩軸,4
日本藺上人,4
金觀察使雲峯所寄韵,4
晉山君至日,4
玉如,4
余求和,4
時叔,4
通之兄,4
翼峴柳使君,4
李參判 全粹,4
黃海監司李蕃仲 封,4
靖節停雲,4
靖節時運,4
李安孫士休以遣懷,4
曹使相偉,4
江原都事丁公壽崗朝京且歸,4
聞喜縣宰黃君㻶,4
尹內乘湯老點馬嶺南,4
忠淸都事閔士孝 師騫,4
李邦衡,4
東萊守,4
英叔,4
自馨,4
判府事之行來自驪州,4
高陽彥 缺,4
忠州慶延樓,4
崔周卿,4
忠淸申節度使,4
權同知支卿 柱 赴燕京,4
仲容,4
梁沃之赴任北邊,4
鄕老朴成倫,4
李 國耳,4
姜 用休,4
映湖樓,4
許獻之,4
伯符,4
金府尹赴全州,4
柳牧使之任尙州 文通○,4
林川郡守之任,4
情人,4
前韻奉呈,4
東坡雪,4
遼東邵圭先生 幷敍,4
朱夫子感興,4
監司金佔畢,4
東峯 附東峯和,4
持正,4
崔載淸,4
季父子寅之嶺南,4
子彥,4
大茂,4
東坡書王晉卿畫,4
靑松府使柳震卿 陽春,4
朴大茂示,4
東隣安判相軒下,4
姜相公 希孟 病中,4
李子俊節度永安道,4
韶輓詞,4
觀察使,4
達城相公,4
李仲匀之任義城,4
遼河道中,4
希醇,4
礪原 宋軼 畫屛,4
蕭海釣和謝祭酒,4
謝祭酒,4
蕭海釣醫巫閭山,4
閔掌令 士孝○,4
李進士穆,4
金典籍秀文赴召 時修成廟實錄,4
權君平丈,4
野書問,4
仲野,4
野仲虛,4
次野仲虛,4
黃孟獻 按察嶺東,4
直卿贈余之,4
文度兄喜雨,4
亨仲,4
佳什,4
公亮行史,4
盧相國 思愼 孝思亭詩帖,4
松風亭,3
長句,3
呈湛之,3
寺呈幢師,3
幢師,3
人後有感,3
住老,3
餞客,3
板上諸公,3
第,3
金正言,3
李侍郎眉叟寄權博士敬仲責辟糓,3
權博士敬仲責辟糓,3
書記,3
金承宣良鏡和陳按廉湜,3
陳按廉湜,3
廉按使金郞中,3
文學,3
堂頭禪老,3
康先輩哭丈大禪帥 幷,3
炭,3
崔學士 宗粹 和舊詩見訪 此,3
舊詩見訪 此詩乃內願堂大禪師,3
李侍郞 需 又以前韻詠黃紅靑,3
濟州守 崔安 以前所寄詩韻問,3
詩韻問訊,3
李平章 仁植 和符字,3
符字,3
朴學士 仁著 和蛙字,3
蛙字,3
復答之,3
土卵,3
朴,3
河郞中復和寄曆,3
朴學士復和寄曆詩親訪,3
寄曆詩親訪,3
曆詩親訪,3
龍腦及醫官理目病 幷,3
源禪師見和前,3
鄭同院哭沼蓮,3
答西海李按部,3
西海李按部,3
題玉龍寺,3
玉堂金君承戊,3
金相國 諱坵 朝退,3
洪睡齋,3
松廣和尙,3
州,3
越松亭,3
權,3
凍魚,3
南尙書,3
以名馬,3
恥菴,3
和成,3
以高,3
白常侍存撫江陵 文寶,3
李正郞,3
襄州樓上,3
復呈,3
藝文諸公,3
仲 溫,3
金晦翁 㬫,3
任同年,3
京都故舊,3
贈裴察訪,3
裴察訪,3
陽軒,3
江陵道廉使徐佐郞,3
陶齋,3
廉知申事,3
仲晦先生,3
砧上人歸金生寺,3
題完山記室華同年詩卷,3
定慧瑚大禪師,3
林椽所贈,3
李郞中 岡○,3
新粒,3
韓弘同年,3
全羅鄭廉使 名履,3
久矣,3
開城,3
呈開城,3
大姨夫閔判事,3
普光兄,3
忠州牧使金存誠,3
呈忠州牧使金存誠,3
年魚,3
靑苧,3
寄乃翁,3
乃翁,3
庸夫,3
去,3
廉東亭,3
惠文兄,3
幻菴,3
西隣孟雲先生,3
呈西隣孟雲先生,3
呈金司空,3
尹令公,3
呈尹令公,3
蓮語,3
全羅崔按廉 名關,3
鮎魚,3
紙,3
竹菴不及,3
惠生鮮,3
榮州板上,3
李太常,3
郭,3
柏亭相國,3
李丹陽,3
江陵李使君,3
寄贈,3
葵軒丈,3
同舍諸公,3
揚廣廉使安諫議,3
章 元揆,3
鄭判書宇,3
江陵海隱先生,3
萬里同年倅安東,3
牛後,3
呈牛後,3
騎牛盤石,3
舍弟,3
李判事,3
騎牛道人,3
舍弟副令赴東北面都元帥幕,3
文溪禪人還歸,3
呈行軒,3
戲答,3
陽春,3
安同年 仲溫,3
詩于牧伯云,3
趙奉善贈李柏堂詩韻 時柏堂呂,3
李柏堂詩韻 時柏堂呂江安置,3
金進士所贈詩貂,3
詩貂,3
歡喜堂大老,3
大諫所寄,3
詩字,3
諸同舍,3
木菴朴東雨,3
祝少卿,3
謝之,3
香林堂,3
黃生員,3
席上諸公,3
僧南歸,3
麟角,3
鏡上人還山,3
辭 自註,3
詩于我大父誠齊相國,3
韓舍人赴咸安,3
進士韓有文歸覲西原,3
楊廣薛按廉 稱,3
孔伯共 俯 赴西北面,3
鄭捴郞,3
巖遁詩韵,3
報令監務次巖遁詩韵,3
前韵,3
祝少卿使還,3
韵寄鄭政堂 擢○自註,3
鄭政堂 擢○自註,3
永嘉君賦雪,3
詩戒予,3
黃庭,3
鐵原東軒,3
頤齋,3
金敎授,3
金山,3
權逸民送梅竹盆,3
梅竹盆,3
楊州東軒,3
明正庵,3
京都李先達,3
酒谷,3
中慮兼東西館諸友,3
大司憲,3
酒谷人家,3
閔佐郞 義生,3
崔典書,3
同年郭參判,3
商山南長寺,3
退隱翁軒題,3
縣倅李達,3
劉敎官詠靈臺,3
弟仁川郡事 潔○辛丑,3
趙承旨 瑞康,3
安平大君瑢,3
侍講倪先生使還,3
崔伯常,3
李使君,3
趙子敬,3
安上人,3
朴承旨慶胤 仲孫,3
朴仲孫,3
金崙 戊子丙科吏曹正郞郡守,3
鄭承旨 而漢,3
河東府院君,3
正因寺雪峻長老,3
臺山悅和尙,3
檜庵哲首座,3
右議政,3
徐學士,3
吳孝永監察,3
具綾城,3
朴判閣 健順,3
日本上人,3
學祖上人,3
蓬原先生,3
崔直提學歸田,3
雪峻上人,3
祈兵部,3
金 永濡 相國,3
溫陽扈從諸賢,3
長興東軒,3
光州東軒,3
高山東軒,3
南原廣寒樓,3
安岳東軒,3
匪懈堂詩帖 皇明景泰元年,3
李保仁牧晉州,3
尹之望兄,3
金浩生往黃海,3
孝宁大君,3
孝寧,3
淳昌兄,3
呈淳昌兄,3
權承旨 自恭 歸葬安東,3
具分臺 信忠,3
曹平安監司 孝門,3
成川降仙樓韻 北征還,3
谷口軒板,3
鍾城東軒,3
慶興東軒,3
會寧東軒,3
成川府使辛永孫,3
咸陽兄,3
玉果東軒,3
慶尙監司盧叔,3
咸吉康監司,3
